date,code,name,market,open,high,low,close,change,change_rate,volume,trading_value,market_cap,listed_shares
20250102,005380,현대차,KOSPI,212000,216000,210500,211500,-500,-0.24,437773,92886616500,44291524396500,209416191
20250102,005930,삼성전자,KOSPI,52700,53600,52300,53400,200,0.38,16630538,878413120092,318786388170000,5969782550
20250102,035720,카카오,KOSPI,38500,38600,37000,37450,-750,-1.96,1391090,52262633800,16611452363450,443563481
20250103,005380,현대차,KOSPI,211500,215000,211000,213000,1500,0.71,456107,97389499500,44605648683000,209416191
20250103,005930,삼성전자,KOSPI,52800,55100,52800,54400,1000,1.87,19318046,1047542312930,324756170720000,5969782550
20250103,035720,카카오,KOSPI,37450,39250,37450,38050,600,1.6,1971546,75918109500,16877590452050,443563481
20250106,005380,현대차,KOSPI,213000,213500,207000,211500,-1500,-0.7,782307,164306846000,44291524396500,209416191
20250106,005930,삼성전자,KOSPI,54400,56200,54300,55900,1500,2.76,19034284,1058888590642,333710844545000,5969782550
20250106,035720,카카오,KOSPI,37800,39250,37800,39150,1100,2.89,1459048,56408522500,17365510281150,443563481
20250107,005380,현대차,KOSPI,211500,214000,210500,211000,-500,-0.24,511955,108530734000,44186816301000,209416191
20250107,005930,삼성전자,KOSPI,56800,57300,55400,55400,-500,-0.89,17030235,957161571300,330725953270000,5969782550
20250107,035720,카카오,KOSPI,39400,39900,38550,38650,-500,-1.28,1438838,56282193450,17143728540650,443563481
20250108,005380,현대차,KOSPI,209500,215500,209000,213500,2500,1.18,603411,128582384500,44710356778500,209416191
20250108,005930,삼성전자,KOSPI,54800,57500,54700,57300,1900,3.43,26593553,1508091102443,342068540115000,5969782550
20250108,035720,카카오,KOSPI,38300,39000,37200,37400,-1250,-3.23,2887696,109560233300,16589274189400,443563481
20250109,005380,현대차,KOSPI,215000,219500,213000,213000,-500,-0.23,866529,186764672000,44605648683000,209416191
20250109,005930,삼성전자,KOSPI,57600,57700,56100,56100,-1200,-2.09,24490592,1390326401200,334904801055000,5969782550
20250109,035720,카카오,KOSPI,37450,37850,37200,37200,-200,-0.53,2219066,83021199350,16500561493200,443563481
20250110,005380,현대차,KOSPI,215000,227000,215000,226000,13000,6.1,1951806,436680248000,47328059166000,209416191
20250110,005930,삼성전자,KOSPI,56100,56500,55200,55300,-800,-1.43,16059223,893461579301,330128975015000,5969782550
20250110,035720,카카오,KOSPI,37200,37400,36400,36550,-650,-1.75,2240282,82035388100,16215850376350,443662117
20250113,005380,현대차,KOSPI,225500,226000,218500,220000,-6000,-2.65,867629,191585700000,46071562020000,209416191
20250113,005930,삼성전자,KOSPI,54600,55000,54100,54100,-1200,-2.17,16868600,917178336730,322965235955000,5969782550
20250113,035720,카카오,KOSPI,36200,36900,36200,36500,-50,-0.14,1170255,42725387150,16193667270500,443662117
20250114,005380,현대차,KOSPI,221000,224500,219500,222000,2000,0.91,547856,121618986500,46490394402000,209416191
20250114,005930,삼성전자,KOSPI,54200,54600,53700,53900,-200,-0.37,17465926,944534229000,321771279445000,5969782550
20250114,035720,카카오,KOSPI,36650,36950,36350,36850,350,0.96,1087274,39848159350,16348949011450,443662117
20250115,005380,현대차,KOSPI,222000,224000,220500,220500,-1500,-0.68,492913,109141724500,46176270115500,209416191
20250115,005930,삼성전자,KOSPI,54100,54700,53500,53700,-200,-0.37,18625025,1005085420250,320577322935000,5969782550
20250115,035720,카카오,KOSPI,36950,38150,36500,37000,150,0.41,2186274,81076228650,16415498329000,443662117
20250116,005380,현대차,KOSPI,223000,224000,218000,219000,-1500,-0.68,435312,95840574500,45862145829000,209416191
20250116,005930,삼성전자,KOSPI,54200,55000,54100,54300,600,1.12,18627298,1014922869739,324159192465000,5969782550
20250116,035720,카카오,KOSPI,37400,37850,36700,36900,-100,-0.27,1271977,47144448100,16371132117300,443662117
20250117,005380,현대차,KOSPI,217500,218000,211000,211500,-7500,-3.42,813817,173358642500,44291524396500,209416191
20250117,005930,삼성전자,KOSPI,53800,54100,53200,53700,-600,-1.1,18805344,1007047374200,320577322935000,5969782550
20250117,035720,카카오,KOSPI,36950,36950,36400,36400,-500,-1.36,1135029,41440245800,16149301058800,443662117
20250120,005380,현대차,KOSPI,211000,212000,207500,208500,-3000,-1.42,571176,119557780000,43663275823500,209416191
20250120,005930,삼성전자,KOSPI,53600,53900,53300,53400,-300,-0.56,11822531,633048956700,318786388170000,5969782550
20250120,035720,카카오,KOSPI,36400,36700,35800,36450,50,0.14,1356111,49084420100,16171484164650,443662117
20250121,005380,현대차,KOSPI,210500,213000,206500,206500,-2000,-0.96,833996,174130967500,43244443441500,209416191
20250121,005930,삼성전자,KOSPI,53700,54300,53300,53500,100,0.19,13535702,726599371000,319383366425000,5969782550
20250121,035720,카카오,KOSPI,36450,37000,36150,36450,0,0.0,1166887,42652083650,16171484164650,443662117
20250122,005380,현대차,KOSPI,207500,210000,206500,208500,2000,0.97,832710,173325850000,43663275823500,209416191
20250122,005930,삼성전자,KOSPI,53400,54400,53100,54300,800,1.5,18341991,984308176550,324159192465000,5969782550
20250122,035720,카카오,KOSPI,36800,37050,36150,36300,-150,-0.41,1154547,42026957450,16104934847100,443662117
20250123,005380,현대차,KOSPI,208000,213500,205500,209000,500,0.24,1032782,215710770500,43767983919000,209416191
20250123,005930,삼성전자,KOSPI,53700,54100,53500,53700,-600,-1.1,15588067,837442426072,320577322935000,5969782550
20250123,035720,카카오,KOSPI,36450,36500,35750,35750,-550,-1.52,1220022,43932782850,15860920682750,443662117
20250124,005380,현대차,KOSPI,208000,208500,203000,205000,-4000,-1.91,1077548,221450144500,42930319155000,209416191
20250124,005930,삼성전자,KOSPI,53600,53800,53200,53700,0,0.0,11867631,635529275550,320577322935000,5969782550
20250124,035720,카카오,KOSPI,35900,36350,35700,35750,0,0.0,1076274,38625191500,15860920682750,443662117
20250131,005380,현대차,KOSPI,204500,207500,200000,206000,1000,0.49,986621,202431528500,43139735346000,209416191
20250131,005930,삼성전자,KOSPI,52200,53000,51700,52400,-1300,-2.42,42186279,2207004262250,312816605620000,5969782550
20250131,035720,카카오,KOSPI,36100,39000,36100,38350,2600,7.27,6846406,260138650100,17014442186950,443662117
20250203,005380,현대차,KOSPI,201000,203500,200000,202000,-4000,-1.94,911137,183695376000,42302070582000,209416191
20250203,005930,삼성전자,KOSPI,51100,51400,50800,51000,-1400,-2.67,32344897,1649571739100,304458910050000,5969782550
20250203,035720,카카오,KOSPI,38350,42450,37750,41800,3450,9.0,14720792,593892906850,18545076490600,443662117
20250204,005380,현대차,KOSPI,205000,208500,201000,201000,-1000,-0.5,841947,172705326000,42092654391000,209416191
20250204,005930,삼성전자,KOSPI,51600,53600,51500,52700,1700,3.33,27214851,1437276277799,314607540385000,5969782550
20250204,035720,카카오,KOSPI,42600,43150,40200,40900,-900,-2.15,12331280,514416022350,18145780585300,443662117
20250205,005380,현대차,KOSPI,201500,206500,201000,204500,3500,1.74,710413,144789997500,42825611059500,209416191
20250205,005930,삼성전자,KOSPI,53600,53800,52800,52900,200,0.38,15974885,849379788350,315801496895000,5969782550
20250205,035720,카카오,KOSPI,41300,43550,41000,43200,2300,5.62,10732661,457544811250,19166203454400,443662117
20250206,005380,현대차,KOSPI,206000,207000,203000,203500,-1000,-0.49,605308,124159859000,42616194868500,209416191
20250206,005930,삼성전자,KOSPI,53400,54000,53200,54000,1100,2.08,16466025,881509435950,322368257700000,5969782550
20250206,035720,카카오,KOSPI,44000,45500,43500,45300,2100,4.86,9121099,408940635450,20097893900100,443662117
20250207,005380,현대차,KOSPI,203500,204500,200000,200500,-3000,-1.47,834221,168200412500,41987946295500,209416191
20250207,005930,삼성전자,KOSPI,53900,54200,53600,53700,-300,-0.56,14476866,779741308604,320577322935000,5969782550
20250207,035720,카카오,KOSPI,45200,45250,43550,44500,-800,-1.77,5102434,226468869600,19742964206500,443662117
20250210,005380,현대차,KOSPI,199500,201000,197700,199400,-1100,-0.55,992303,197903345200,41757588485400,209416191
20250210,005930,삼성전자,KOSPI,53000,55900,52900,55600,1900,3.54,27577591,1505750553500,331919909780000,5969782550
20250210,035720,카카오,KOSPI,44500,46000,42300,42500,-2000,-4.49,6162748,272446065450,18855639972500,443662117
20250211,005380,현대차,KOSPI,199500,202500,198500,199400,0,0.0,842452,168437039600,41757588485400,209416191
20250211,005930,삼성전자,KOSPI,55500,56300,55000,55700,100,0.18,24596196,1370657724557,332516888035000,5969782550
20250211,035720,카카오,KOSPI,43200,43450,42250,42850,350,0.82,3387582,144855549650,19010921713450,443662117
20250212,005380,현대차,KOSPI,199000,200500,198100,198100,-1300,-0.65,567219,112819261300,41485347437100,209416191
20250212,005930,삼성전자,KOSPI,55100,55900,54500,55800,100,0.18,26428596,1460112004958,333113866290000,5969782550
20250212,035720,카카오,KOSPI,42750,42750,41400,42000,-850,-1.98,2941517,123318779200,18633808914000,443662117
20250213,005380,현대차,KOSPI,202500,210000,202000,208500,10400,5.25,1493929,309045149802,43663275823500,209416191
20250213,005930,삼성전자,KOSPI,56100,56400,55600,55800,0,0.0,22448377,1256946474000,333113866290000,5969782550
20250213,035720,카카오,KOSPI,42350,43100,39700,40200,-1800,-4.29,8123275,329464403400,17835217103400,443662117
20250214,005380,현대차,KOSPI,208000,210000,205500,206000,-2500,-1.2,823619,170948931000,43139735346000,209416191
20250214,005930,삼성전자,KOSPI,56000,57300,56000,56000,200,0.36,23979779,1354475009700,334307822800000,5969782550
20250214,035720,카카오,KOSPI,40550,40600,38400,38750,-1450,-3.61,6091721,238791374650,17192411016250,443675123
20250217,005380,현대차,KOSPI,201000,202500,199500,199800,-6200,-3.01,894545,179215445100,41841354961800,209416191
20250217,005930,삼성전자,KOSPI,56100,56500,55700,56000,0,0.0,11916027,667145670500,334307822800000,5969782550
20250217,035720,카카오,KOSPI,39100,39350,38800,39050,300,0.77,3131805,122322525100,17325513553150,443675123
20250218,005380,현대차,KOSPI,200000,201500,198900,200500,700,0.35,560363,112234459200,41987946295500,209416191
20250218,005930,삼성전자,KOSPI,56200,57200,55900,56900,900,1.61,22131007,1254587816860,339680627095000,5969782550
20250218,035720,카카오,KOSPI,38950,39350,38600,38950,-100,-0.26,2601628,101519127450,17281146040850,443675123
20250219,005380,현대차,KOSPI,198900,204500,198800,204000,3500,1.75,854114,173187142900,42720902964000,209416191
20250219,005930,삼성전자,KOSPI,57400,58900,57300,58700,1800,3.16,25395151,1481741681100,350426235685000,5969782550
20250219,035720,카카오,KOSPI,39150,39650,38850,39300,350,0.9,2977884,117216009300,17436432333900,443675123
20250220,005380,현대차,KOSPI,202500,204000,201500,203000,-1000,-0.49,354026,71712810500,42511486773000,209416191
20250220,005930,삼성전자,KOSPI,59100,59100,58100,58400,-300,-0.51,21589059,1264910439050,348635300920000,5969782550
20250220,035720,카카오,KOSPI,39600,40750,39550,39750,450,1.15,4599415,184429643700,17636086139250,443675123
